Year,Sex,Age Group,Race or Ethnicity,Selected Cause of Death,Deaths
2016,M,85+,Black Non Hispanic,Accidents,18
2016,M,45-54,Hispanic,Cerebrovascular Disease,31
2016,M,25-34,Other Non Hispanic,Pneumonia,1
2016,F,9-Jan,Black Non Hispanic,Malignant Neoplasms,5
2016,M,65-74,Black Non Hispanic,Diseases of the Heart,709
2016,M,55-64,White Non Hispanic,Diabetes Mellitus,43
2016,M,55-64,Other Non Hispanic,Diabetes Mellitus,7
2016,F,25-34,Not Stated,All Other Causes,10
2016,M,65-74,Black Non Hispanic,Pneumonia,87
2016,M,65-74,Hispanic,Total,"1,399"
2016,F,9-Jan,Black Non Hispanic,Pneumonia,1
2016,F,45-54,Hispanic,Diseases of the Heart,71
2016,M,65-74,White Non Hispanic,Diabetes Mellitus,61
2016,M,20-24,Other Non Hispanic,Accidents,19
2016,F,19-Oct,Black Non Hispanic,Accidents,8
2016,M,25-34,Not Stated,Accidents,11
2016,M,45-54,White Non Hispanic,Accidents,476
2016,M,<1,Black Non Hispanic,Accidents,3
2016,M,35-44,Black Non Hispanic,Diseases of the Heart,111
2016,M,55-64,Hispanic,CLRD,35
2016,F,75-84,Not Stated,Diseases of the Heart,55
2016,F,65-74,Other Non Hispanic,Cerebrovascular Disease,22
2016,F,85+,Not Stated,Malignant Neoplasms,19
2016,F,55-64,White Non Hispanic,All Other Causes,"1,147"
2016,F,85+,Other Non Hispanic,Diabetes Mellitus,5
2016,M,25-34,Other Non Hispanic,AIDS,1
2016,M,20-24,White Non Hispanic,Pneumonia,3
2016,M,19-Oct,Not Stated,All Other Causes,4
2016,M,9-Jan,Hispanic,Diseases of the Heart,1
2016,F,85+,Other Non Hispanic,Pneumonia,57
2016,M,75-84,Other Non Hispanic,Pneumonia,43
2016,M,65-74,White Non Hispanic,Accidents,295
2016,F,45-54,Black Non Hispanic,Cerebrovascular Disease,27
2016,M,85+,Hispanic,Cerebrovascular Disease,40
2016,F,25-34,Black Non Hispanic,Total,203
2016,F,55-64,White Non Hispanic,Malignant Neoplasms,"2,013"
2016,M,55-64,Not Stated,Pneumonia,4
2016,F,<1,Black Non Hispanic,Pneumonia,1
2016,M,<1,Not Stated,All Other Causes,25
2016,F,55-64,Black Non Hispanic,Diseases of the Heart,370
2016,F,35-44,Black Non Hispanic,AIDS,21
2016,M,<1,Not Stated,Total,25
2016,F,55-64,Hispanic,Pneumonia,21
2016,F,25-34,Hispanic,Diseases of the Heart,8
2016,F,55-64,Black Non Hispanic,Accidents,62
2016,F,45-54,Not Stated,CLRD,1
2016,F,85+,Not Stated,CLRD,6
2016,F,<1,Hispanic,CLRD,1
2016,M,9-Jan,Other Non Hispanic,Accidents,2
2016,F,75-84,White Non Hispanic,All Other Causes,"3,972"
2016,M,85+,Other Non Hispanic,Cerebrovascular Disease,38
2016,F,85+,Not Stated,Pneumonia,10
2016,F,55-64,Other Non Hispanic,CLRD,5
2016,F,20-24,Black Non Hispanic,All Other Causes,40
2016,F,<1,Other Non Hispanic,Diseases of the Heart,1
2016,F,65-74,White Non Hispanic,CLRD,640
2016,F,19-Oct,Black Non Hispanic,Malignant Neoplasms,4
2016,M,55-64,Not Stated,Accidents,6
2016,F,20-24,Black Non Hispanic,CLRD,2
2016,M,20-24,Black Non Hispanic,Diabetes Mellitus,1
2016,F,65-74,Black Non Hispanic,AIDS,6
2016,M,25-34,Not Stated,Total,23
2016,F,<1,Hispanic,All Other Causes,87
2016,F,45-54,Other Non Hispanic,Diseases of the Heart,11
2016,M,45-54,Hispanic,Total,799
2016,F,55-64,Black Non Hispanic,AIDS,29
2016,M,9-Jan,Black Non Hispanic,Pneumonia,1
2016,M,20-24,White Non Hispanic,Diseases of the Heart,7
2016,F,55-64,Not Stated,Cerebrovascular Disease,4
2016,F,20-24,Other Non Hispanic,Malignant Neoplasms,1
2016,F,85+,White Non Hispanic,Pneumonia,887
2016,M,19-Oct,White Non Hispanic,Accidents,83
2016,F,55-64,White Non Hispanic,Total,"4,560"
2016,M,75-84,Hispanic,Diabetes Mellitus,8
2016,M,55-64,Not Stated,Total,207
2016,M,75-84,White Non Hispanic,Pneumonia,391
2016,F,55-64,Not Stated,Malignant Neoplasms,34
2016,F,75-84,Black Non Hispanic,Total,"2,459"
2016,F,55-64,Black Non Hispanic,All Other Causes,413
2016,F,65-74,White Non Hispanic,AIDS,5
2016,M,85+,White Non Hispanic,All Other Causes,"5,562"
2016,F,35-44,Not Stated,All Other Causes,9
2016,M,75-84,Hispanic,All Other Causes,406
2016,F,45-54,White Non Hispanic,Pneumonia,21
2016,M,20-24,White Non Hispanic,Accidents,239
2016,M,55-64,White Non Hispanic,CLRD,256
2016,F,75-84,Not Stated,Accidents,3
2016,F,<1,Hispanic,Diseases of the Heart,1
2016,M,20-24,Black Non Hispanic,Diseases of the Heart,5
2016,F,35-44,Hispanic,Diabetes Mellitus,2
2016,M,75-84,Black Non Hispanic,Diabetes Mellitus,23
2016,M,35-44,Black Non Hispanic,Diabetes Mellitus,2
2016,F,55-64,Hispanic,CLRD,24
2016,F,25-34,Other Non Hispanic,Accidents,8
2016,M,19-Oct,Hispanic,All Other Causes,40
2016,M,55-64,Other Non Hispanic,Cerebrovascular Disease,18
2016,M,35-44,Hispanic,All Other Causes,189
2016,M,20-24,Black Non Hispanic,AIDS,3
2016,F,45-54,White Non Hispanic,Diseases of the Heart,239
2016,F,75-84,White Non Hispanic,Accidents,253
2016,M,9-Jan,Not Stated,All Other Causes,2
2016,F,65-74,Hispanic,Diabetes Mellitus,6
2016,M,75-84,White Non Hispanic,CLRD,797
2016,M,19-Oct,White Non Hispanic,All Other Causes,97
2016,M,45-54,Black Non Hispanic,CLRD,17
2016,F,45-54,Black Non Hispanic,Diabetes Mellitus,9
2016,F,25-34,Black Non Hispanic,CLRD,4
2016,M,<1,Hispanic,Cerebrovascular Disease,1
2016,F,45-54,White Non Hispanic,All Other Causes,598
2016,F,75-84,Other Non Hispanic,Cerebrovascular Disease,41
2016,F,<1,Not Stated,All Other Causes,26
2016,M,45-54,Other Non Hispanic,All Other Causes,61
2016,M,65-74,Not Stated,Malignant Neoplasms,58
2016,M,9-Jan,Hispanic,All Other Causes,22
2016,F,65-74,White Non Hispanic,Pneumonia,171
2016,M,75-84,White Non Hispanic,Cerebrovascular Disease,514
2016,M,20-24,Black Non Hispanic,Total,163
2016,M,45-54,Not Stated,AIDS,6
2016,F,65-74,White Non Hispanic,Diseases of the Heart,"1,588"
2016,M,35-44,Other Non Hispanic,All Other Causes,39
2016,M,35-44,White Non Hispanic,All Other Causes,479
2016,F,20-24,Hispanic,Malignant Neoplasms,2
2016,M,75-84,White Non Hispanic,Malignant Neoplasms,"3,446"
2016,F,20-24,Hispanic,CLRD,2
2016,F,75-84,Not Stated,CLRD,7
2016,F,75-84,Hispanic,All Other Causes,509
2016,F,9-Jan,Other Non Hispanic,All Other Causes,10
2016,M,65-74,Not Stated,Diabetes Mellitus,1
2016,F,<1,Not Stated,Total,28
2016,M,20-24,Black Non Hispanic,All Other Causes,117
2016,M,9-Jan,Hispanic,CLRD,1
2016,F,25-34,Not Stated,Total,17
2016,F,65-74,Not Stated,Malignant Neoplasms,47
2016,F,20-24,White Non Hispanic,Malignant Neoplasms,5
2016,F,85+,Hispanic,Diabetes Mellitus,11
